das Klassentreffen	επανένωση (παλιών συμμαθητών), reunion
das Lieblingsfach, die Lieblingsfächer	αγαπημένο μάθημα
der Traumberuf, die Traumberufe	επάγγελμα που ονειρεύομαι
der Sportjournalist, die Sportjournalisten /	αθλητικογράφος
weiter/geben, er gibt weiter, er hat weitergegeben	μεταδίδω, προωθώ
das Gespräch, die Gespräche	διάλογος, συζήτηση
aus/tauschen, er tauscht aus, er hat ausgetauscht	[εδώ!] ανταλλάσσω
sich ab/wechseln, sie wechseln sich ab,	εναλάσσομαι, αλλάζω ρόλους
Das gibt es nicht.	Δεν είναι δυνατόν! Τι έκπληξη!
das Kärtchen, die Kärtchen	καρτούλα
die Ruckseite	πίσω πλευρά
Ich hätte nicht gedacht, dass ...	Δεν θα μου περνούσε από το μυαλό ότι …
das Datum	ημερομηνία
die Grillparty, die Grillpartys	(πάρτι) μπάρμπεκιου
etwas in der Tasche haben	έχω κάτι σίγουρο
der Grill	ψηστιέρα, ψησταριά
schlecht	[εδώ!] άσχημος
zuhause	στο σπίτι (μου)
ab/sagen, er sagt ab, er hat abgesagt	ματαιώνω
Liebe alle	Αγαπητοί, Αγαπητές
viel zu ...	πάρα πολύ …
das Tofu-Würstchen, die Tofu-Würstchen	λουκάνικο vegan
Sie haben sich lange nicht gesehen	jemanden erinnern, er erinnert, er hat erinnert an + Akk 	 υπενθυμίζω (σε κάποιον κάτι)
sich wundern, er wundert sich, er hat sich gewundert	απορώ
die Auswahl	επιλογή
sich verändern, er verändert sich, er hat sich verändert	[εδώ!] αλλάζω (με τα χρόνια)
das gehört zusammen	αυτά πάνε μαζί
der Preis, die Preise	[εδώ!] βραβείο
fahrradfreundlich	φιλικός προς τους ποδηλάτες
der Einwohner, die Einwohner / die Einwohnerin,	κάτοικος
der Radweg, die Radwege	ποδηλατόδρομος
Kein Wunder, dass ...	Δεν είναι να απορεί κανείς που …
das Fahrradparkhaus, die Fahrradparkhäuser	πάρκινγκ για ποδήλατα
das Parken	παρκάρισμα
die Radstation, die Radstationen	σταθμός ποδηλάτων
der Parkplatz, die Parkplätze	θέση στάθμευσης
das Land	[εδώ!] ύπαιθρος, εξοχή
die Bahnverbindung, die Bahnverbindungen	σιδηροδρομική σύνδεση
die Busverbindung, die Busverbindungen	λεωφορειακή σύνδεση
die Fußgängerzone, die Fußgängerzonen	πεζόδρομος
die Vorfahrt	προτεραιότητα
das Semesterticket, die Semestertickets	εξαμηνιαίο πάσο
preiswert	οικονομικός, οικονομικά
in der Nähe von ...	κοντά σε …
die Fahrt, die Fahrten	διαδρομή
flexibel	ευέλικτος
die Alternative, die Alternativen	εναλλακτική λύση
kurz vor ...	λίγο πριν …
die Reiseplanung	σχέδιο του ταξιδιού
der/das Filter, die Filter	φίλτρο
verpassen, er verpasst, er hat verpasst	χάνω [π.χ. το τρένο]
der IC/Intercity - der ICE/Intercityexpress	υπερταχεία (αμαξοστοιχεία)
die Ankuft	άφιξη
billig	φθηνός
das Gleis, die Gleise	[εδώ!] αποβάθρα, γραμμή (σιδηροδρομικού σταθμού)
die Verspätung, die Verspätungen	καθυστέρηση
die Fahrkarte, die Fahrkarten	εισιτήριο
das geht nicht	αυτό δεν γίνεται/επιτρέπεται
gültig sein, es ist gültig, es war gültig	ισχύει
die Mobilität	κινητικότητα
der Superlativ, die Superlative	υπερθετικός (βαθμός)
hoch	ψηλός
die Hauptstadt, die Hauptstädte	πρωτεύουσα
weil	διότι, επειδή
die Intonation	τονισμός (της πρότασης)
das Aquarium, die Aquarien	ενυδρείο
im Fokus	στο επίκεντρο (του ενδιαφέροντος)
der Kundenbegleiter, die Kundenbegleiter /	συνοδός επιβατών
die SBB/Schweizerische Bundesbahn	Ελβετικοί Σιδηρόδρομοι
die Prüfung, die Prüfungen	εξέταση, εξετάσεις
die Strecke, die Strecken	[εδώ!] διαδρομή
mindestens	τουλάχιστον
die Ansage, die Ansagen	ανακοίνωση (στο τρένο)
mehrsprachig	σε πολλές γλώσσες
das Billet, die Billets	εισιτήριο [Ελβετικά γερμανικά]
die Durchsage, die Durchsagen	ανακοίνωση (στο τρένο)
das Velo, die Velos	ποδήλατο [Ελβετικά γερμανικά]
das Velobillet, die Velobillets	εισιτήριο για το ποδήλατο [Ελβετικά γερμανικά]
die Redewendung, die Redewendungen	έκφραση
sich beeilen, er beeilt sich, er hat sich beeilt	κάνω γρήγορα, βιάζομαι
Es ist höchste Eisenbahn!	Πρέπει να βιαστούμε!
nur Bahnhof verstehen, ich verstehe nur Bahnhof,	δεν καταλαβαίνω γρυ
akzeptieren, er akzeptiert, er hat akzeptiert	δέχομαι, κάνω δεκτό
Der Zug ist abgefahren.	Είναι πια πολύ αργά.
Wir müssen los!	Πρέπει να φύγουμε!
das Eishockeyspiel, die Eishockeyspiele	παιχνίδι χόκεϋ επί πάγου
grob	[εδώ!] πρόχειρα, χονδρικά
der Fahrradparkplatz, die Fahrradparkplätze	χώρος στάθμευσης ποδηλάτων
der Fahrradweg, die Fahrradwege	ποδηλατόδρομος
die Kleinstadt, die Kleinstädte	κωμόπολη
die Verkehrssituation	κυκλοφοριακή κατάσταση
das Parkplatzproblem, die Parkplatzprobleme	πρόβλημα στάθμευσης
dringend	επειγόντως
sich unterhalten, er unterhält sich, er hat sich unterhalten	συζητώ
freitags	την Παρασκευή, τις Παρασκευές
zurück/fahren, er fährt zurück, er ist zurückgefahren	επιστρέφω
die Hin- und Rückfahrt	μετάβαση και επιστροφή
die Information	[εδώ!] πληροφορίες, γραφείο πληροφοριών
die Umsteigezeit, die Umsteigezeiten	χρόνος (διαθέσιμος) για μετεπιβίβαση
das Reisezentrum, die Reisezentren	γραφείο για πληροφορίες και έκδοση εισιτηρίων
der Norden	βοράς
der Süden	νότος
sürisch	συριακός
die Kurzinformation, die Kurzinformationen	σύντομη πληροφορία
das Adjektivpaar, die Adjektivpaare	ζεύγος επιθέτων
das Gegenteil, die Gegenteile	το αντίθετο
selten	σπάνια
die Innenstadt, die Innenstädte	κέντρο (της πόλης)
das Rathaus, die Rathäuser	δημαρχείο
der E-Roller, die E-Roller	ηλεκτρικό πατίνι
zusammen/leben, er lebt zusammen,	συγκατοικώ
das Mehrfamilienhaus, die Mehrfamilienhäuser	(χαμηλή) πολυκατοικία
die Terrasse, die Terrassen	ταράτσα
der Wohnblock, die Wohnblocks	οικοδομικό συγκρότημα
das Hochhaus, die Hochhäuser	(ψηλή) πολυκατοικία
ein Drittel	ένα τρίτο
das Einfamilienhaus, die Einfamilienhäuser	μονοκατοικία
der Mieter, die Mieter / die Mieterin, die Mieterinnen	ένοικος
das Einkommen	εισόδημα
die Miete	ενοίκιο
das Bad	μπάνιο
die Mietwohnung, die Mietwohnungen	ενοικιαζόμενο διαμέρισμα
im Durchschnitt	κατά μέσο όρο
der Quadratmeter, die Quadratmeter	τετραγωνικό (μέτρο)
zur Miete wohnen, er wohnt zur Miete,	ζω στο νοίκι
europäisch	ευρωπαϊκός
sich fühlen, er fühlt sich, er hat sich gefühlt	νιώθω, αισθάνομαι
täglich	καθημερινός, καθημερινά
der Rekord, die Rekorde	ρεκόρ
ziehen, er zieht, er ist gezogen	[εδώ!] μετακομίζω
die Großstadt, die Großstädte	μεγαλούπολη
das Kulturangebot, die Kulturangebote	πολιτιστική προσφορά
im Trend sein, es ist im Trend, es war im Trend	είναι της μόδας
das Pendeln	το πηγαινέλα
pendeln, er pendelt, er ist gependelt	πηγαινοέρχομαι
der Autofahrer, die Autofahrer	οδηγός (αυτοκινήτου)
sich ärgern, er ärgert sich, er hat sich geärgert	θυμώνω
verlieren, er verliert, er hat verloren	χάνω
die Badewanne, die Badewannen	μπανιέρα
der Sportplatz, die Sportplätze	χώρος για άθληση, γήπεδο
das Immobilienbüro, die Immobilienbüros	γραφείο ακινήτων, μεσιτικό γραφείο
die Abkürzung, die Abkürzungen	συντομογραφία
die Anzeige, die Anzeigen	αγγελία
die Kosten (Plural!)	κόστος
die Wohnungsinformationen (Plural!)	πληροφορίες σχετικά με την κατοικία
die Nebenkosten (Plural!)	πρόσθετα έξοδα [ρεύμα + νερό + θέρμανση]
der Keller, die Keller	υπόγειο
die Kaltmiete	καθαρό ενοίκιο (χωρίς πρόσθετα έξοδα)
die Wohnfläche	εμβαδόν, επιφάνεια κατοικίας
die Kaution	εγγύηση
ab	από …
der Anbieter, die Anbieter	πάροχος
kontaktieren	έρχομαι σε επαφή
merken, er merkt, er hat gemerkt	[εδώ!] σημειώνω (για να θυμάμαι)
die Immobilie, die Immobilien	το ακίνητο
der Nichtraucher, die Nichtraucher	μη καπνιστής
fröhlich	χαρούμενος, ευχάριστος
der Mitbewohner, die Mitbewohner -	συγκάτοικος
möbliert	επιπλωμένος
die Zwei-Zimmer-Wohnung,	δυάρι
der Besichtigungstermin, die Besichtigungstermine	ραντεβού για επίσκεψη (ενός ακινήτου)
vereinbaren, er vereinbart, er hat vereinbart	κανονίζω
warm	[εδώ!] μεικτά (συμπεριλαμβανομένων των πρόσθετων
es geht um + Akk	πρόκειται για …
der Vermieter, die Vermieter / die Vermieterin,	εκμισθωτής, εκμισθώτρια
die Rolle, die Rollen	ρόλος
sonnig	ηλιόλουστος
die Wohungsbesichtigung	επίσκεψη/επιθεώρηση κατοικίας
begründen, er begründet, er hat begründet	αιτιολογώ, στηρίζω
die Kleinanzeige, die Kleinanzeigen	μικρή αγγελία
die Garage, die Garagen	γκαράζ
der Flohmarkt, die Flohmärkte	(υπαίθριο) παζάρι
der Monitor, die Monitore	οθόνη (ΗΥ)
die Hausordnung	εσωτερικός κανονισμός (πολυκατοικίας)
entscheiden, er entscheidet, er hat entschieden	αποφασίζω
auf/bauen, er baut auf, er hat aufgebaut	[εδώ!] στήνω
die E-Gitarre, die E-Gitarren	ηλεκτρική κιθάρα
der Kinderwagen, die Kinderwagen	καροτσάκι (για μωρά)
der Fahrradkeller	υπόγειος χώρος για ποδήλατα
die Ruhezeiten (Plural!)	ώρες κοινής ησυχίας
das Musikinstrument, die Musikinstrunente	μουσικό όργανο
verboten sein, es ist verboten, es war verboten	απαγορεύεται
das Treppenhaus, die Treppenhäuser	κλιμακοστάσιο
die Wiese, die Wiesen	λιβάδι, [εδώ!] πράσινος ακάλυπτος χώρος
ab/stellen, er stellt ab, er hat abgestellt	αφήνω, σταθμεύω
die Kommode, die Kommoden	κομό, συρταριέρα
das Haustier, die Haustiere	κατοικίδιο (ζώο)
der Lärm	φασαρία, θόρυβος
riechen, es riecht, es hat gerochen	μυρίζω
erlaubt sein, es ist erlaubt, es war erlaubt	επιτρέπεται
wundern, es wundert, es hat gewundert	παραξενεύω
das Bellen	γαύγισμα
der Müll	σκουπίδια
die Ordnung	τάξη
die Ruhe	ησυχία
entspannt	χαλαρός
die Gemütlichkeit	άνεση, άνετη ατμόσφαιρα
Wir machen es uns auf dem Balkon gemütlich!	es sich gemütlich machen, er macht es sich gemütlich, 	 αράζω, χαλαρώνω, κάθομαι άνετα
der Magazinartikel, die Magazinartikel	άρθρο του περιοδικού
verbringen, er verbringt, er hat verbracht	περνώ (χρόνο)
die Oase, die Oasen	όαση
das Gartencenter, die Gartencenter	φυτώριο, κατάστημα κηπουρικής
Balkonien	Μπαλκονία [λογοπαίγνιο]
die Bildercollage, die Bildercollagen	κολάζ με εικόνες
die Pinnwand, die Pinnwände	πίνακας από φελλό
um/ziehen, er zieht um, er ist umgezogen	μετακομίζω
die Wohnungsanzeige, die Wohnungsanzeigen	αγγελία „ζητείται/ενοικιάζεται“
zentral	κεντρικός
die Lage, die Lagen	θέση
die Mittagsruhe	μεσημεριανές ώρες ησυχίας
die Nachtruhe	βραδινές ώρες ησυχίας
zelten, er zeltet, er hat gezeltet	κατασκηνώνω, στήνω αντίσκηνο
die Wäsche	1. άπλυτα     2. μπουγάδα
die Wohnungssuche	αναζήτηση κατοικίας
der Stock, die Stockwerke	όροφος
das Erdgeschoss	ισόγειο
das Upcycling	αναβάθμιση (παλιών αντικειμένων)
an/malen, er malt an, er hat angemalt	βάφω
das Kissen, die Kissen	μαξιλάρι
der Post, die Posts	ανάρτηση, ποστάρισμα
das Netz	[εδώ!] (δια)δίκτυο
das Medium, die Medien	μέσο (ενημέρωσης)
der Medien-Monitor	η χρήση μέσων σε αριθμούς
kostenlos	δωρεάν
das Videospiel, die Videospiele	βιντεοπαιχνίδι
digital	ψηφιακός, ψηφιακά
die Sprachnachricht, die Sprachnachrichten	ηχητικό μήνυμα
die Textnachricht, die Textnachrichten	γραπτό μήνυμα
sparen, er spart, er hat gespart	εξοικονομώ
die Zukunft	μέλλον
downloaden, er downloadet, er hat gedownloadet	κατεβάζω (από το διαδίκτυο)
auf/laden, er lädt auf, er hat aufgeladen	φορτίζω
die Steckdose, die Steckdosen	πρίζα
das Ladekabel, die Ladekabel	καλώδιο φόρτισης
das Smartphone, die Smartphones	έξυπνο κινητό, smartphone
die Handykamera, die Handykameras	φωτογραφική μηχανή του κινητού
liken, er likt, er hat gelikt	κάνω like
der Akku, die Akkus	μπαταρία, συσσωρευτής
leer	άδειος
das (WLAN-)Passwort	κωδικός (εισόδου στο τοπικό δίκτυο)
die Datei, die Dateien	(ηλεκτρονικό) αρχείο
überweisen, er überweist, er hat überwiesen	μεταφέρω στο λογαριασμού (κάποιου)
der Esslöffel, die Esslöffel	κουτάλι του φαγητού
chatten, er chattet, er hat gechattet	κουβεντιάζω (στο διαδίκτυο)
scannen, er scannt, er hat gescannt	σκανάρω
ob	αν [πλάγια ερώτηση!]
indirekt	πλάγιος
die Reihenfolge	χρονολογική σειρά
die Geschichte, die Geschichten	ιστορία
der Medien-Tag, die Medien-Tage	η ημέρα μέσα από τα μέσα
der Wecker, die Wecker	ξυπνητήρι
aus sein, es ist aus, es war aus	είναι κλειστό
die Nummer, die Nummern	νούμερο, αριθμός
überfliegen, er überfliegt, er hat überflogen	διαβάζω στα πεταχτά
chaotisch	χαωτικός, χαώδης, άνω κάτω
der Umzugskarton, die Umzugskartons	κουτί/χαρτόκουτο της μετακόμισης
aus/packen, er packt aus, er hat ausgepackt	ξεπακετάρω, ανοίγω, αποσυσκευάζω
leihen, er leiht, er hat geliehen	δανείζω, δανείζομαι
die Umarmung, die Umarmungen (dicke Umarmung)	αγκάλιασμα (μεγάλη αγκαλιά)
das PS	υστερόγραφο
der Anhang	παράρτημα, συνημμένα
die Konsole, die Konsolen	κονσόλα
der Kugelschreiber, die Kugelschreiber	στιλό
die Box, die Boxen	κουτί/χαρτόκουτο αρχειοθέτησης
der Dativ	δοτική
die Handy-Pause, die Handy-Pausen	διάλειμμα στη χρήση του κινητού
der Online-Shop, die Online-Shops	διαδικτυακό κατάστημα
checken, er checkt, er hat gecheckt	ελέγχω
alle ...	[εδώ!] κάθε …
das Handy-Detox	αποτοξίνωση από τη χρήση του κινητού
an haben, er hat an, er hatte an	έχω ανοικτό
das Experiment, die Experimente	πείραμα
weg/legen, er legt weg, er hat weggelegt	βάζω στην άκρη
das Glossar, die Glossare	γλωσσάρι
der Begriff, die Begriffe	όρος
das E-Book, die E-Books	ηλεκτρονικό βιβλίο
das Tagebuch, die Tagebücher	(καθημερινό) ημερολόγιο
das Aufladen	φόρτιση
surfen, er surft, er hat gesurft	σερφάρω
verändern, er verändert, er hat verändert	αλλάζω, μεταβάλλω (σταδιακά)
sozial	κοινωνικός
das Netzwerk, die Netzwerke	δίκτυο
das Hörbuch, die Hörbücher	ηχητικό βιβλίο
die Lieblingsmusik	αγαπημένη μουσική
speichern, er speichert, er hat gespeichert	αποθηκεύω
das Videoangebot, die Videoangebote	προσφορά σε βίντεο, προσφερόμενα βίντεο
der Kochtipp, die Kochtipps	συμβουλή για τη μαγειρική
aktuell	[εδώ!] αυτή την εποχή
das Medienwort, die Medienwörter	λέξη σχετική με τα μέσα ενημέρωσης
dabei haben, er hat dabei, er hatte dabei	έχω μαζί μου
aus/ziehen, er zieht aus, er hat ausgezogen	[εδώ!] βγάζω (κάτι που φορώ)
das Kommunikationsproblem, die Kommunikations-	πρόβλημα επικοινωνίας
das Zugticket, die Zugtickets	εισιτήριο για το τρένο
die Nominalisierung, die Nominalisierungen	ουσιαστικοποίηση
die Autogrammjagd	κυνήγι αυτογράφων
sich bewegen, er bewegt sich, er hat sich bewegt	κινούμαι
die Wörterkette, die Wörterketten	αλυσίδα λέξεων
schaffen, er schafft, er hat geschafft	καταφέρνω (να τελειώσω)
die Hitliste, die Hitlisten	κατάλογος δημοφιλίας
der Geldautomat, die Geldautomaten	μηχάνημα αυτόματων συναλλαγών
die Kreditkarte, die Kreditkarten	πιστωτική κάρτα
Na logo!	Λογικό!
der Makler, die Makler / die Maklerin, die Maklerin,	μεσίτης, μεσίτρια
der Regenschirm, die Regenschirme	ομπρέλα
die Ursache, die Ursachen	αίτιο
lustig	αστείος, χιουμοριστικός
der Kursteilnehmer, die Kursteilnehmer /	μαθητής (που παρακολουθεί ένα τμήμα)
die Stimmung	διάθεση
der Lieblingsort, die Lieblingsorte	αγαπημένο μέρος
vor/stellen, er stellt vor, er hat vorgestellt	παρουσιάζω
der Bachelor-Student, die Bachelor-Studenten	φοιτητής bachelor
das Gefühl, die Gefühle	συναίσθημα
zu dritt	τρεις μαζί
der Ausblick	θέα
der Rentner, die Rentner / die Rentnerin,	συνταξιούχος
schauen, er schaut, er hat geschaut	κοιτάζω, βλέπω
die Bank, die Bänke	πάγκος, παγκάκι
die Szene, die Szenen	σκηνή
auf keinen Fall	σε καμία περίπτωση
auf jeden Fall	οπωσδήποτε, σε κάθε περίπτωση
das Einzelzimmer, die Einzelzimmer	μονόκλινο (δωμάτιο)
das Doppelzimmer, die Doppelzimmer	δίκλινο (δωμάτιο)
weg/bringen, er bringt weg, er hat weggebracht	(μαζεύω και) μεταφέρω, βγάζω έξω
raus/bringen, er bringt raus, er hat rausgebracht	βγάζω έξω
ein/ziehen, er zieht ein, er ist eingezogen	μετακομίζω, έρχομαι/πηγαίνω να μείνω
die Bedeutung, die Bedeutungen	σημασία
Ist das euer Ernst?	Σοβαρολογείτε;
der Glückwunsch, die Glückwünsche	ευχή
gratulieren, er gratuliert, er hat gratuliert + Dat	συγχαίρω
Zum Wohl!	Εις υγείαν!
genervt	εκνευρισμένος
Viel zu tun	sich langweilen, er langweilt sich, er hat sich gelangweilt	 βαριέμαι, πλήττω
der Vorschlag, die Vorschläge	πρόταση
die Seniorengruppe, die Seniorengruppen	ομάδα ηλικιωμένων
die Gruppenreise, die Gruppenreisen	ομαδικό ταξίδι
die Hin- und Rückreise	μετάβαση και επιστροφή
die Stadtrundfahrt, die Stadtrundfahrten	γύρος της πόλης (με αυτοκίνητο)
das Rheintal	κοιλάδα του Ρήνου
die An- und Abreise	άφιξη και αναχώρηση
das 3-Sterne-Hotel, die 3-Sterne-Hotels	ξενοδοχείο τριών αστέρων
der Tagesausflug, die Tagesausflüge	ημερήσια εκδρομή
erleben, er erlebt, er hat erlebt	ζω, βιώνω
die Zugfahrt, die Zugfahrten	ταξίδι με το τρένο
inklusive	συμπεριλαμβανομένου, συμπεριλαμβανομένων
der Stadtrundgang, die Stadtrundgänge	περίπατος/περιήγηση στην πόλη
los müssen, er muss los, er musste los	πρέπει να φύγω
ab/halten, er hält ab, er hat abgehalten	ενοχλώ, καθυστερώ (κάποιον από τη δουλειά του)
überhaupt kein-/nicht	καθόλου
weiter müssen, er muss weiter, er musste weiter	πρέπει να συνεχίσω
ähnlich	όμοιος
die Kleinigkeit, die Kleinigkeiten	λεπτομέρεια
die Tasse, die Tassen	φλιτζάνι, κύπελο
das Prüfungstraining	προετοιμασία/προπόνηση για τις εξετάσεις
der Prüfungsteil, die Prüfungsteile	μέρος της εξέτασης
die Informationstafel, die Informationstafeln	ενημερωτικός πίνακας
das Kaufhaus, die Kaufhäuser	εμπορικό κατάστημα
das Mobiltelefon, die Mobiltelefone	κινητό (τηλέφωνο)
fest	σταθερός
die Arbeitswelt	κόσμος της εργασίας
die Digitalisierung	ψηφιοποίηση
entstehen, es entsteht, es ist entstanden	δημιουργούμαι
der Hochzeitsfotograf, die Hochzeitsfotografen /	φωτογράφος γαμήλιων τελετών
die Hochzeit, die Hochzeiten	γάμος, γαμήλια τελετή
das Labor, die Labore	εργαστήριο
entwickeln, er entwickelt, er hat entwickelt	[εδώ!] εμφανίζω
out sein, es ist out, es war out	είναι ντεμοντέ/ξεπερασμένος
das Hochzeitsvideo, die Hochzeitsvideos	βίντεο της γαμήλιας τελετής
filmen, er filmt, er hat gefilmt	γυρίζω (σε ταινία)
die Trauung	(θρησκευτικός/πολιτικός) γάμος
vertonen, er vertont, er hat vertont	επενδύω με ήχο/μουσική
sich ein/arbeiten, er arbeitet sich ein,	εξοικειώνομαι
die Drohne, die Drohnen	ντρόουν
das Hochzeitspaar, die Hochzeitspaare	ζευγάρι που παντρεύεται, ζεύγος μελλονύμφων
zusammenfassen, er fasst zusammen,	συνοψίζω
die Veränderung, die Veränderungen	αλλαγή, μεταβολή
die Videokonferenz, die Videokonferenzen	τηλεδιάσκεψη
die Arbeitssituation, die Arbeitssituationen	κατάσταση στο χώρο της εργασίας
die Arbeitszeit, die Arbeitszeiten	χρόνος εργασίας
auf/passen, er passt auf, er hat aufgepasst	προσέχω
dauernd	διαρκώς
sich mischen, er mischt sich, er hat sich gemischt	ανακατεύομαι
ab und zu	πότε πότε
ab/schalten, er schaltet ab, er hat abgeschaltet	κλείνω (το διακόπτη), [εδώ!] χαλαρώνω
der Lebenslauf, die Lebensläufe	βιογραφικό σημείωμα
der Lexikoneintrag, die Lexikoneinträge	καταχώριση στο λεξικό
im Wechsel	εναλλάξ
unter	[εδώ!] στο κομμάτι
die Anschrift, die Anschriften	ταχυδρομική διεύθυνση
die Berufserfahrung, die Berufserfahrungen	επαγγελματική εμπειρία
der Zahntechniker, die Zahntechniker /	οδοντοτεχνίτης, οδοντοτεχνίτρια
der Gartenbau	κηποτεχνία
der Einkauf, die Einkäufe	αγορά, προμήθεια
der Pflanztermin, die Pflanztermine	ημερομηνία φύτευσης
die Mitarbeit	συνεργασία
die Kostenkalkulation	υπολογισμός κόστους
die Kostenkontrolle	έλεγχος κόστους
der Gärtner, die Gärtner / die Gärtnerin,	κηπουρός
die Gärtnerei, die Gärtnereien	φυτώριο
pflegen, er pflegt, er hat gepflegt	φροντίζω, περιποιούμαι
die Fachhochschule, die Fachhochschulen	Ανώτερη Σχολή
die Abschlussnote, die Abschlussnoten	βαθμός αποφοίτησης, βαθμός πτυχίου
die Schulausbildung	σχολική εκπαίδευση
die Allgemeine Hochschulreife	απολυτήριο με δικαίωμα εισαγωγής σε ΑΕΙ
die EDV-Kenntnisse (Plural!)	γνώσεις ΗΥ
persönlich	προσωπικός, ατομικός
das Geburtsdatum	ημερομηνία γέννησης
der Geburtsort	τόπος γέννησης
der Abschluss, die Abschlüsse	[εδώ!] βαθμίδα που ολοκληρώθηκε
besondere Kenntnisse (Plural!)	ειδικές/ιδιαίτερες γνώσεις
professionell	επαγγελματικός
der Merksatz, die Merksätze	μνημονική πρόταση, πρόταση κανόνας
halblaut	χαμηλόφωνα
die Eselsbrücke, die Eselsbrücken	τυφλοσούρτης
die Sicherheit	ασφάλεια
die Arbeitsatmosphäre	ατμόσφαιρα στο χώρο εργασίας
der Arbeitsablauf, die Arbeitsabläufe	ροή της εργασίας
der Arbeitsbeginn	έναρξη της εργασίας
der Kundenkontakt, die Kundenkontakte	επαφή με πελάτες
wissenschaftlich	επιστημονικός
die Perspektive, die Perspektiven	προοπτική
die Sketchnote, die Sketchnoten	σκίτσα γύρω από ένα θέμα
ewig	αιώνιος, [εδώ!] ατέλειωτος
knacken, er knackt, er hat geknackt	[εδώ!] αποκρυπτογραφώ
der Laut, die Laute	φθόγγος
das CV / Curriculum Vitae	βιογραφικό σημείωμα
überraschen, es überrascht, es hat überrascht	εκπλήσσω
der Schüttelkasten	πλαίσιο με λέξεις/εκφράσεις
formulieren, er formuliert, er hat formuliert	διατυπώνω
klären, er klärt, er hat geklärt	διευκρινίζω, διασαφηνίζω
mailen, er mailt, er hat gemailt	στέλνω email
hnterlassen, er hinterlässt, er hat hinterlassen	αφήνω (μήνυμα)
die Telefonnotiz, die Telefonnotizen	σημείωση για ένα τηλεφώνημα
der Anruf, die Anrufe	κλήση
der Rückruf, die Rückrufe	επανάκληση
Kann ich ... sprechen?	Μπορώ να μιλήσω με ... ;
das Sporthaus, die Sporthäuser	κατάστημα αθλητικών ειδών
weiter/leiten, er leitet weiter, er hat weitergeleitet	προωθώ
sich bedanken, er bedankt sich, er hat sich bedankt	ευχαριστώ
sich verabschieden, er verabschiedet sich,	αποχαιρετώ
zurück/rufen, er ruft zurück, er hat zurückgerufen	καλώ (κάποιον που με ζήτησε στο τηλέφωνο)
der Betreff	θέμα
die Signatur, die Signaturen	υπογραφή
das Reisebüro, die Reisebüros	ταξιδιωτικό γραφείο
das Flugticket, die Flugtickets	αεροπορικό εισιτήριο
die Abflugzeit, die Abflugzeiten	ώρα αναχώρησης
