der Start	αρχή, ξεκίνημα
Na ...	ε [μόριο]
klar	σαφής, σαφώς, βέβαια
gern(e)	ευχαρίστως
wiederholen, er wiederholt	επαναλαμβάνω
ja	ναι
die Bitte, die Bitten	παράκληση
aus	από
das Redemittel, die Redemittel	εκφραστικό μέσο, έκφραση
die Entschuldigung, die Entschuldigungen	συγνώμη
ich	εγώ
verstehen, er versteht	καταλαβαίνω
nicht	δεν
zuordnen, er ordnet zu	αντιστοιχίζω
fragen, er fragt	ρωτάω
antworten, er antwortet	απαντώ
der Kurs, die Kurse	τμήμα, τάξη
der Lehrer, die Lehrer / die Lehrerin, die Lehrerinnen	δάσκαλος, δασκάλα
der Lerner, die Lerner	μαθητής
wer	ποιος, ποια
sagen, er sagt	λέω
haben, er hat, er hatte	έχω
der Text, die Texte	κείμενο
der Kursraum, die Kursräume	αίθουσα διδασκαλίας, τάξη
das Wort, die Wörter	λέξη
kennen, er kennt	γνωρίζω
die Uhr, die Uhren	ρολόι
die Tür, die Türen	πόρτα
das Brötchen, die Brötchen	ψωμάκι
der Textmarker, die Textmarker	μαρκαδόρος
der Laptop, die Laptops	λάπτοπ
der Bleistift, die Bleistifte	μολύβι
die Tasche, die Taschen	τσάντα
der Stuhl, die Stühle	καρέκλα
der Kuli, die Kulis	στυλό
der Tisch, die Tische	τραπέζι
das Handy, die Handys	κινητό
das Heft, die Hefte	τετράδιο
das Plakat, die Plakate	πλακάτ, αφίσα
der Kaffee, die Kaffees	καφές
der Gegenstand, die Gegenstände	αντικείμενο
vergleichen, er vergleicht	συγκρίνω
die Pause, die Pausen	διάλειμμα
machen, er macht	κάνω
der Radiergummi, die Radiergummis	γόμμα
die Arbeitsanweisung, die Arbeitsanweisungen	οδηγία
das Bild, die Bilder	1. εικόνα, 2. κάδρο
laut	δυνατά, φωναχτά
ergänzen, er ergänzt	συμπληρώνω
passen, es passt	ταιριάζω
passend	κατάλληλος, που ταιριάζει
die Einheit, die Einheiten	ενότητα, κεφάλαιο
der Sommerkurs, die Sommerkurse	θερινό τμήμα
Leipzig	Λειψία
hallo	γεια σου, γεια σας
kommen, er kommt	έρχομαι, [εδώ!] είμαι, κατάγομαι
Brasilien	Βραζιλία
Genf	Γενεύη
Italienisch	ιταλικά
Französisch	γαλλικά
Englisch	αγγλικά
der Iran	Ιράν
viele	πολλοί, πολλές, πολλά
das Land, die Länder	χώρα
der/die Studierende, die Studierenden	σπουδαστής, σπουδάστρια
der Sommer	καλοκαίρι
lernen, er lernt	μαθαίνω
international	διεθνής
Portugiesisch	πορτογαλικά
Spanisch	ισπανικά
Farsi	φαρσί [περσικά]
Thai	ταϊλανδέζικα
sich begrüßen, sie begrüßen sich	χαιρετώ, ανταλλάσσω χαιρετισμό
sich vorstellen, ich stelle mich vor, er stellt sich vor	συστήνομαι
die Begrüßung, die Begrüßungen	χαιρετισμός
woher	από πού
wohnen, er wohnt	κατοικώ, (δια)μένω
nein	όχι
Neuseeland	Νέα Ζηλανδία
Kamerun	Καμερούν
cool	ωραίος, ωραία, εντάξει, φίνος
welcher, welche, welches	ποιος, ποια, ποιο
Kamtok	κάμτοκ [γλώσσα που ομιλείται στο Καμερούν]
auch	επίσης
die Information, die Informationen	πληροφορία
recherchieren, er recherchiert	ερευνώ, ψάχνω
der Ländername, die Ländernamen	ονομασία χώρας
Japanisch	γιαπωνέζικα
Indonesisch	ινδονησιακά
Niederländisch	ολλανδικά
Chinesisch	κινέζικα
Vietnamesisch	βιετναμέζικα
Russisch	ρωσικά
Arabisch	αραβικά
Norwegisch	νορβηγικά
das Nachbarland, die Nachbarländer	γειτονική χώρα
von	από, [εδώ!] του/της
sammeln, er sammelt	συγκεντρώνω, μαζεύω
hinten	πίσω
die Person, die Personen	πρόσωπο, άτομο
Tschechien	Τσεχία
Polen	Πολωνία
Dänemark	Δανία
Frankreich	Γαλλία
die Niederlande	Ολλανδία
das Minimemo, die Minimemos	πινακάκι για να θυμάσαι
der Artikel, die Artikel	άρθρο
die Türkei	Τουρκία
fehlen, er fehlt	λείπω
die Anmeldung, die Anmeldungen	δήλωση
für	για
der Vorname, die Vornamen	(μικρό) όνομα
das Porträt, die Porträts	πορτρέτο, προσωπογραφία
helfen, er hilft	βοηθώ
die Seite, die Seiten	[εδώ!] σελίδα
die Tabelle, die Tabellen	πίνακας
die Grammatik, die Grammatiken	γραμματική
Bulgarien	Βουλγαρία
Spanien	Ισπανία
Türkisch	τούρκικα
das Würfelspiel, die Würfelspiele	παιχνίδι με ζάρια
würfeln, er würfelt	ρίχνω τα ζάρια
zwei	δύο
der Würfel, die Würfel	κύβος, [εδώ!] ζάρι
er	αυτός
sie	αυτή
wir	εμείς
ihr	εσείς
sie	αυτοί, αυτές, αυτά
Sie	εσείς [τύπος ευγένειας]
das Profi, die Profile	προφίλ, σκιαγράφηση
zu zweit	σε ζευγάρια/δυάδες
der Satzakzent	σημείο όπου τονίζεται η πρόταση
die Position, die Positionen	θέση
die Satzfrage, die Satzfragen	ερώτηση ολικής άγνοιας
die W-Frage, die W-Fragen	ερώτηση μερικής άγνοιας
stehen, es steht	βρίσκομαι, στέκομαι
die Regel, die Regeln	κανόνας
das Partnerinterview, die Partnerinterviews	συνέντευξη με ένα συμμαθητή
notieren, er notiert	σημειώνω
der Ich-Text, die Ich-Texte	κείμενο που αναφέρεται σε μένα προσωπικά
der Wohnort, die Wohnorte	τόπος διαμονής/κατοικίας
der Magazintext, die Magazintexte	κείμενο (περιοδικού)
der Fehler, die Fehler	λάθος
korrigieren, er korrigiert	διορθώνω
der Satz, die Sätze	πρόταση
das Video, die Videos	βίντεο
der Steckbrief, die Steckbriefe	προφίλ, σύντομη περιγραφή
der Nachname, die Nachnamen	επίθετο
das Kreuzworträtsel, die Kreuzworträtsel	σταυρόλεξο
lösen, er löst	λύνω
das Rätsel, die Rätsel	αίνιγμα, [εδώ] σταυρόλεξο
die Lösung, die Lösungen	λύση
der Tipp, die Tipps	συμβουλή, βοήθεια
zusammenpassen, sie passen zusammen	ταιριάζω, πάω μαζί
verbinden, er verbindet	συνδέω
Alles klar!	Κατάλαβα!
die Wortwolke, die Wortwolken	λεξονέφος, σύννεφο λέξεων
das Restaurant, die Restaurants	εστιατόριο, ρεστοράν
der Computer, die Computer	υπολογιστής, κομπιούτερ
der Appetit	όρεξη
toll	θαυμάσιος, τρέλα
wählen, er wählt	επιλέγω
neu	νέος, καινούριος
der Freund, die Freunde / die Freundin, die Freundinnen	φίλος, φίλη
fit	σε φόρμα, [εδώ] έτοιμος
handeln, er handelt	[εδώ] χειρίζομαι
die Wendung, die Wendungen	έκφραση
die Struktur, die Strukturen	δομή
das Personalpronomen, die Personalpronomen	προσωπική αντωνυμία
der Nominativ	ονομαστική
der Fragesatz, die Fragesätze	ερωτηματική πρόταση
die Aussprache	προφορά
interaktiv	διαδραστικός
die Übung, die Übungen	άσκηση
die Klingel, die Klingeln	κουδούνι
das Paket, die Pakete	πακέτο
die Adresse, die Adressen	διεύθυνση
viel	πολύς, πολλή, πολύ
die Arbeit, die Arbeiten	δουλειά, εργασία
wenig	λίγος
die Zeit, die Zeiten	χρόνος, καιρός, ώρα
so	έτσι
der Brief, die Briefe	γράμμα, επιστολή
groß	μεγάλος
der Hund, die Hunde	σκύλος
der Zusteller, die Zusteller / die Zustellerin,	διανομέας
das Tempo	ταχύτητα
der Stress	στρες, άγχος
mögen, er mag, er mochte	αρέσει
aber	όμως, αλλά
deutsch	γερμανικός
der Familienname, die Familiennamen	επίθετο
das Problem, die Probleme	πρόβλημα
die Vorsicht	προσοχή
die Familie, die Familien	οικογένεια
Guten Morgen!	Καλημέρα!
der Empfänger, die Empfänger / die Empfängerin,	παραλήπτης, παραλήπτρια
Tschüss!	Γεια σου/σας!
die Postkarte, die Postkarten	καρτ-ποστάλ, ταχυδρομικό δελτάριο
bekommen, er bekommt	παίρνω, (παρα)λαμβάνω
die Wortliste, die Wortlisten	κατάλογος λέξεων
der Absender, die Absender / die Absenderin,	αποστολέας
die Postleitzahl, die Postleitzahlen	ταχυδρομικός κώδικας
die Hausnummer, die Hausnummern	αριθμός (σπιτιού)
der Lerntipp, die Lerntipps	συμβουλή
immer	πάντα
der Briefkasten, die Briefkästen	γραμματοκιβώτιο
der Singular	ενικός
der Plural	πληθυντικός
die Straße, die Straßen	οδός
das Nomen, die Nomen	ουσιαστικό
die Singularform, die Singularformen	τύπος του ενικού
zusammen	μαζί
die Zahl, die Zahlen	αριθμός
zur Kontrolle	για έλεγχο
diktieren, er diktiert	υπαγορεύω
die Handynummer, die Handynummern	αριθμός κινητού
die Telefonnummer, die Telefonnummern	αριθμός τηλεφώνου
tippen, er tippt	[εδώ!] πληκτρολογώ
anrufen, er ruft an	τηλεφωνώ
die Nachricht, die Nachrichten	είδηση, μήνυμα
das Telefon (Tel.), die Telefone	τηλέφωνο
freundlicher	πιο φιλικός
der Fußballverein, die Fußballvereine	ποδοσφαιρικός σύλλογος
BVB = Ballspielverein Borrusia	ποδοσφαιρικός σύλλογος Μπορούσια
die Mannschaft, die Mannschaften	ομάδα
die Woche, die Wochen	εβδομάδα
der Profi-Fußball	επαγγελματικό ποδόσφαιρο
typisch	τυπικός, χαρακτηριστικός
die Profimannschaft, die Profimannschaften	επαγγελματική ομάδα
der Torwart, die Torwarte	τερματοφύλακας
das Dorf, die Dörfer	χωριό
bei	[εδώ!] κοντά σε …
Syrien	Συρία
der Trainer, die Trainer / die Trainerin, die Trainerinnen	προπονητής, προπονήτρια
die Muttersprache, die Muttersprachen	μητρική γλώσσα
der Spieler, die Spieler / die Spielerin, die Spielerinnen	παίκτης, παίκτρια
Belgien	Βέλγιο
Argentinien	Αργεντινή
das Training	προπόνηση
oft	συχνά
nur	μόνο
seit	από το …
der Nationalspieler, die Nationalspieler	διεθνής (παίκτης)
die Heimat	πατρίδα
heute	σήμερα
die Top-Familiennamen (Plural!)	τα πιο συνηθισμένα επίθετα
der Müller	μυλωνάς
der Fischer	ψαράς
der Beruf, die Berufe	επάγγελμα
die Liste, die Listen	κατάλογος
das Wörterbuch, die Wörterbücher	λεξικό
erkennen, er erkennt	αναγνωρίζω
China	Κίνα
die Region, die Regionen	περιοχή
Herzlich willkommen!	Καλωσόρισες! Καλωσορίσατε!
variieren, er variiert	παραλλάζω, διαφοροποιώ
ankreuzen, er kreuzt an	σημειώνω, σταυρώνω
nachfragen, er fragt nach	κάνω ερώτηση, ρωτάω για …
das Lernplakat, die Lernplakate	πλακάτ, αφίσα (για ένα θέμα)
das Wechselspiel	παιχνίδι με εναλλασσόμενους ρόλους
die Post	ταχυδρομείο, [εδώ!] αλληλογραφία
ist da	έφθασε
ordnen, er ordnet	τακτοποιώ, βάζω σε χρονολογική σειρά
super	τέλειος, τέλεια
das Wortfeld, die Wortfelder	λεξιλογικός πίνακας
das Foto, die Fotos	φωτογραφία
der Paketschein, die Paketscheine	δελτίο αποστολής δέματος
das Päckchen, die Päckchen	μικροδέμα
das Wörterbuchtraining	εξάσκηση στη χρήση του λεξικού
malen, er malt	ζωγραφίζω
sehen, er sieht, er hat gesehen	βλέπω
bis	μέχρι
der Minidialog, die Minidialoge	μίνι διάλογος
der Umlaut, die Umlaute	αλλοίωση φωνήεντος
das Café, die Cafés	καφετέρια
der Kakao	κακάο
der Cappuccino	καπουτσίνο
der Latte Macchiato	λάτε μακιάτο
der Tee	τσάι
der Espresso	εσπρέσο
der Orangensaft, die Orangensäfte	χυμός πορτοκάλι, πορτοκαλάδα
das Wasser	νερό
der Eistee	παγωμένο τσάι
der Arbeitsplatz, die Arbeitsplätze	χώρος δουλειάς
in sein, das ist in, das war in	είναι της μόδας
Wien	Βιέννη
Köln	Κολωνία
Zürich	Ζυρίχη
studieren, er studiert, er hat studiert	σπουδάζω
das Marketing	μάρκετινγκ
der Kellner, die Kellner / die Kellnerin, die Kellnerinnen	σερβιτόρος, σερβιτόρα
Schweden	Σουηδία
Stockholm	Στοκχόλμη
der Grafikdesigner, die Grafikdesigner - die Grafik-	σχεδιαστής/σχεδιάστρια γραφικών
die Brille, die Brillen	γυαλιά
kennenlernen, er lernt kennen	γνωρίζω, κάνω τη γνωριμία
die Leute (Plural!)	άνθρωποι, κόσμος
ein bisschen	λίγο
überall	παντού
der Park, die Parks	πάρκο
einfach	απλός, απλά
brauchen, er braucht	χρειάζομαι
das Internet	ίντερνετ, διαδίκτυο
warum	γιατί
die Atmosphäre	ατμόσφαιρα
lecker	νόστιμος
der Kopfhörer, die Kopfhörer	ακουστικό, ακουστικά
das Getränk, die Getränke	ποτό
bestellen, er bestellt	παραγγέλνω
trinken, er trinkt	πίνω
nehmen, er nimmt	παίρνω
das Mineralwasser	μεταλλικό νερό
der Zucker	ζάχαρη
berichten, er berichtet	μιλώ, αφηγούμαι
ohne	χωρίς
möchten, er möchte	θα ήθελα
schwarz	μαύρος, [εδώ!] σκέτος, χωρίς ζάχαρη
überprüfen, er  überprüft	εξετάζω
lieber (er trinkt lieber Tee)	προτιμώ να … (προτιμά να πιει τσάι)
der Saft, die Säfte	χυμός
wählen, er wählt	επιλέγω
spielen, er spielt	παίζω
das Portemonnaie, die Portemonnaies	πορτοφόλι
bestimmter Artikel	οριστικό άρθρο
unbestimmter Artikel	αόριστο άρθρο
die/das Cola, die Colas	αναψυκτικό τύπου κόκα κόλα
der Apfelsaft, die Apfelsäfte	χυμός από μήλο
das Artikelwort, die Artikelwörter	άρθρο
die Limonade, die Limonaden	αναψυκτικό
der Chai	τσάι
das Konzert, die Konzerte	συναυλία, κοντσέρτο
der Abend, die Abende	βράδυ
wann	πότε
es gibt	υπάρχει, υπάρχουν
die Lust	όρεξη, διάθεση
die Band, die Bands	(μουσικό) συγκρότημα
die Karte, die Karten	[εδώ!] εισιτήριο
Kein Problem!	Κανένα πρόβλημα!
die Bar, die Bars	μπαρ
schicken, er schickt, er hat geschickt	στέλνω
perfekt	τέλειος, τέλεια
Bis dann!	Τα λέμε!
morgen	αύριο
der/das Comic, die Comics	κόμικς
bezahlen, er bezahlt	πληρώνω
die Rechnung, die Rechnungen	λογαριασμός
das Minimemo, die Minimemos	σύντομο σημείωμα
das Croissant, die Croissants	κρουασάν
das Total	σύνολο
die MwSt (Mehrwertsteuer)	ΦΠΑ (φόρος προστιθεμένης αξίας)
bar	μετρητοίς
bedienen, er bedient	εξυπηρετώ
Vielen Dank!	Ευχαριστώ/Ευχαριστούμε πολύ!
der Besuch, die Besuche	επίσκεψη
besuchen, er besucht	επισκέπτομαι
bald	σύντομα
wieder	πάλι
der Milchkaffee	καφές με γάλα
der Hörtext, die Hörtexte	ακουστικό κείμενο
zahlen, er zahlt	πληρώνω
zurück	πίσω, [εδώ!] ρέστα
sehr	πολύ
gut	καλός, καλά
Bis gleich!	Τα λέμε (σε λίγο)!
Bis morgen!	Τα λέμε αύριο!
später	αργότερα
Bis später!	Τα λέμε αργότερα!
die Situation, die Situationen	κατάσταση, περίσταση
der Fußball	ποδόσφαιρο
zweimal	δύο φορές
richtig	σωστός, σωστά
falsch	λανθασμένος
Hannover	Αννόβερο
die Aussage, die Aussagen	πρόταση
das Wörternetz, die Wörternetze	ομάδα συγγενών λέξεων (σαν ιστός αράχνης)
flüssig	[εδώ!] με άνεση, χωρίς κόμπιασμα
der Gast, die Gäste	επισκέπτης, καλεσμένος, [εδώ!] πελάτης
nutzen, er nutzt	χρησιμοποιώ, αξιοποιώ
kalt	κρύος
heiß	καυτός
das Eis	1. πάγος   2. παγωτό
der Eiskaffee	καφές με παγωτό
der Stift, die Stifte	μολύβι, γραφίδα
die Reihenfolge, die Reihenfolgen	σειρά
die Lust	όρεξη, διάθεση
getrennt	χωριστά
teuer (Wie teuer ist/sind...)	ακριβός (Πόσο κοστίζει…)
die Karte, die Karten	[εδώ!] (πιστωτική/χρεωστική) κάρτα
die Getränkewörter (Plural !)	(λέξεις που περιγράφουν) ποτά
der Student, die Studenten / die Studentin,	φοιτητής, φοιτήτρια
der Keks, die Kekse	μπισκότο
essen, er isst	τρώω
endlich	επιτέλους
das Essen	φαγητό
total	[εδώ!] εντελώς
das Sushi, die Sushis	σούσι
der Fisch, die Fische	ψάρι
doch	[αμετάφραστο μόριο που φανερώνει αντίρρηση]
das Tier, die Tiere	ζώο
vegetarisch	χορτοφαγικός
aussehen, er sieht aus	φαίνομαι
das Fleisch	κρέας
der Food Blogger, die Food Blogger / die Food	φουντ μπλόγκερ
der Mensch, die Menschen	άνθρωπος
fotografieren, er fotografiert	φωτογραφίζω
posten, er postet	ποστάρω, αναρτώ
der Kommentar, die Kommentare	σχόλιο
nerven, er nervt	εκνευρίζω
die Kultur, die Kulturen	πολιτισμός, κουλτούρα
das Leben	ζωή
das Thema, die Themen	θέμα
finden, er findet	βρίσκω, [εδώ!] θεωρώ
die Speisekarte, die Speisekarten	κατάλογος (φαγητών)
das Rind, die Rinder	βόδι, βοδινό
scharf	καυτερός, πικάντικος
das Schwein, die Schweine	γουρούνι, χοιρινό
das Huhn, die Hühner	κότα, κοτόπουλο
die Vorspeise, die Vorspeisen	ορεκτικό
die Tomatensuppe	ντοματόσουπα
das/die Beguette, die Baguettes	μπαγκέτα
der Salat, die Salate	σαλάτα
der Käse	τυρί
die Tomate, die Tomaten	ντομάτα
die Olive, die Oliven	ελιά
das Hauptgericht, die Hauptgerichte	κύριο πιάτο
das Steak, die Steaks	μπριζόλα, στέικ
die Kartoffel, die Kartoffeln	πατάτα
das Schnitzel, die Schnitzel	σνίτσελ
der Kartoffelsalat	πατατοσαλάτα
das Hähnchen, die Hähnchen	κοτόπουλο
das Gemüse	λαχανικά
der Hamburger, die Hamburger	μπέργκερ
die Pommes (Frites) (Plural!)	πατάτες τηγανιτές
das Gemüsecurry	κάρυ λαχανικών
das Tofu	τόφου
der Reis	ρύζι
süß	γλυκός
die Currywurst, die Currywürste	λουκάνικο με κάρυ
das Schweinefleisch	χοιρινό (κρέας)
fast	σχεδόν
alles	όλα, τα πάντα
wissen, er weiß	ξέρω
stimmen, es stimmt	(είναι) σωστό
die Suppe, die Suppen	σούπα
die Pizza, die Pizzas/die Pizzen	πίτσα
die Ananas	ανανάς
denken, er denkt	σκέπτομαι, πιστεύω
kommentieren, er kommentiert	σχολιάζω
Hawaii	Χαβάη
der Schinken, die Schinken	ζαμπόν
Mensch!	Βρε!
der Hunger (ich habe Hunger)	πείνα (πεινάω)
die Idee, die Ideen (Gute Idee!)	ιδέα (Καλή ιδέα!)
die Verneinung, die Verneinungen	άρνηση
verneinen, er verneint	αρνούμαι, απαντώ αρνητικά
das Adjektiv, die Adjektive	επίθετο [μέρος του λόγου]
der Selbsttest, die Selbsttests	ατομικό τεστ
lang	[εδώ!] μακρό
kurz	[εδώ!] βραχύ
der Vokal, die Vokale	φωνήεν
die Spezialität, die Spezialitäten	σπεσιαλιτέ
das Rösti	τηγανίτα από πατάτες
das Allerlei	τουρλού, ανάμεικτα λαχανικά
der Ortsname, die Ortsnamen	τοπωνύμιο
der Blog, die Blogs	μπλογκ
das Streetfood	φαγητό του δρόμου
der Restauranttipp, die Restauranttipps	προτεινόμενο εστιατόριο
das Lieblingsessen, die Lieblingsessen	αγαπημένο φαγητό
das Archiv, die Archive	αρχείο
die Lieblingssuppe, die Lieblingssuppen	αγαπημένη σούπα
die Reisnudel, die Reisnudeln	ρυζομακάρονα
das Rezept, die Rezepte	συνταγή
echt	[εδώ!] πράγματι
das Glück (zum Glück)	1. τύχη (ευτυχώς)     2. ευτυχία
leider	δυστυχώς
probieren, er probiert	δοκιμάζω
mal	[εδώ!] μια φορά
der Hobbykoch, die Hobbyköche / die Hobbyköchin,	ερασιτέχνης μάγειρας/μαγείρισσα
pro	[εδώ!] υπέρ
kontra	κατά
Meine Top 3	Τα τρία αγαπημένα μου
das Interview, die Interviews	συνέντευξη
kombinieren, er kombiniert	συνδυάζω
etwas	κάτι
der Kuchen, die Kuchen	κέικ, γλυκό
der Chai Latte	τσάι με γάλα
die Gemüsesuppe, die Gemüsesuppen	χορτόσουπα
die Kartoffelsuppe, die Kartoffelsuppen	πατατόσουπα
die Nudelsuppe, die Nudelsuppen	σούπα με ζυμαρικά
die Getränkekarte, die Getränkekarten	κατάλογος ποτών
der Softdrink, die Softdrinks	μη αλκοολούχο ποτό
das Gedicht, die Gedichte	ποίημα
zum Beispiel	για παράδειγμα, π.χ.
das Gericht, die Gerichte	[εδώ!] φαγητό, έδεσμα
schmecken, es schmeckt	1. έχει γεύση, 2. είναι νόστιμο
beschreiben, er beschreibt	περιγράφω
der Akkusativ	αιτιατική
das Ticket, die Tickets	εισιτήριο
der Pass, die Pässe	διαβατήριο
der Durst (ich habe Durst)	δίψα (διψάω)
die Strategie, die Strategien	στρατηγική, τρόπος ενέργειας
übersetzen, er übersetzt	μεταφράζω
suchen, er sucht	ψάχνω, αναζητώ
der Apfel, die Äpfel	μήλο
der Thunfisch, die Thunfische	τόνος [ψάρι]
die/der Salami, die Salamis	σαλάμι
klingeln, er klingelt	χτυπώ (το κουδούνι)
dankeschön	ευχαριστώ πολύ
zählen, er zählt	μετράω
die Party, die Partys	πάρτι
klasse	θαυμάσιος
okay	εντάξει
die Partyaktivität, die Partyaktivitäten	δραστηριότητα στη διάρκεια ενός πάρτι
das Spiel, die Spiele	παιχνίδι
zuerst	πρώτα, στην αρχή
fertig	τελειωμένος, έτοιμος
raten, er rät	μαντεύω
zwischen	μεταξύ, ανάμεσα σε …
zu (+ Adjektiv / Adverb)	πολύ …
genau	ακριβώς
der Zettel, die Zettel	σημείωμα, χαρτάκι
kleben, er klebt	κολλάω
der Kopf, die Köpfe	κεφάλι
der Mitspieler, die Mitspieler / die Mitspielerin,	συμπαίκτης, συμπαίκτρια
das Bingo	μπίνγκο
durchstreichen, er streicht durch	διαγράφω
die Spaghetti (Plural!)	σπαγγέτι
der Stopp, die Stopps	στάση
der Buchstabe, die Buchstaben	γράμμα (του αλφαβήτου)
die meisten	οι περισσότεροι, οι περισσότερες, τα περισσότερα
gewinnen, er gewinnt, er hat gewonnen	κερδίζω
legen, er legt	ακουμπώ, τοποθετώ, βάζω
die Münze, die Münzen	κέρμα
das Feld, die Felder	[εδώ!] κουτάκι
die Aufgabe, die Aufgaben	άσκηση
die Meinung, die Meinungen	γνώμη, άποψη
konjugieren, ich konjugiere	κλίνω (ένα ρήμα)
original	αυθεντικός
das Klavier, die Klaviere	πιάνο
lachen, er lacht	γελάω
Auf Wiedersehen!	Στο επανιδείν! Αντίο!
das geht	αυτό γίνεται
die Fantasie	φαντασία
schwer	1. δύσκολος, 2. βαρύς
Das versteht kein Schwein!	Αυτό δεν το πιάνει κανείς!
sortieren, er sortiert	ταξινομώ
der Sieger, die Sieger / die Siegerin, die Siegerinnen	νικητής, νικήτρια
der Marathon, die Marathons	μαραθώνιος (δρόμος)
siegen, er siegt (über)	νικώ
die Distanz, die Distanzen	απόσταση, διαδρομή
der Sonntag, die Sonntage	Κυριακή
die Stunde, die Stunden	ώρα [60 λεπτά]
der Mann, die Männer	άνδρας
die Frau, die Frauen	γυναίκα
stattfinden, es findet statt	λαμβάνει χώρα, πραγματοποιείται
der Kilometer, die Kilometer	χιλιόμετρο
führen, er führt	οδηγώ
durch	μέσα από
das Quiz	κουίζ, διαγωνισμός γνώσεων
dauern, es dauert	διαρκώ
die Minute, die Minuten	λεπτό (της ώρας)
das Ei, die Eier	αβγό
kochen, er kocht	1. βράζω, 2. μαγειρεύω
das Jahr, die Jahre	έτος, χρόνος, χρονιά
schlafen, er schläft	κοιμάμαι
der/die Deutsche, die Deutschen	Γερμανός, Γερμανίδα
fernsehen, er sieht fern	βλέπω τηλεόραση
einkaufen, er kauft ein	ψωνίζω, κάνω ψώνια
der Monat, die Monate	μήνας
der Tag, die Tage	ημέρα
die Armbanduhr, die Armbanduhren	ρολόι χειρός
die Weltzeituhr	παγκόσμιο ρολόι
der Platz, die Plätze	[εδώ!] πλατεία
die Sekunde, die Sekunden	δευτερόλεπτο
Wie viel Uhr ist es?	Τι ώρα είναι;
stoppen, er stoppt (die Zeit)	[εδώ!] χρονομετρώ
wie lange?	πόσο, πόση ώρα;
gehen, er geht	πηγαίνω
der Fahrplan, die Fahrpläne	δρομολόγιο
der Termin, die Termine	ραντεβού
frühstücken, er frühstückt	προγευματίζω
